Point name,Northing(Y),Easting(X),Elevation(Z),Point Code
259,1086.098,992.827,128.246,GROUND
263,1085.258,973.255,128.258,GROUND
264,1075.394,973.354,128.223,GROUND
289,1053.151,937.911,128.062,GROUND
290,1036.888,938.39,128.077,GROUND
293,1005.502,975.762,128.265,GROUND
296,1005.496,980.754,128.249,GROUND
300,1004.882,957.964,128.03,GROUND
306,1008.757,957.904,128.069,GROUND
339,1006.421,1000.169,128.251,GROUND
344,1085.88,993.353,128.248,GROUND
353,1054.651,994.494,128.213,GROUND
365,1032.601,999.148,128.22,GROUND
366,1025.582,999.39,128.325,GROUND
374,1004.211,939.969,128.438,GROUND
379,1031.624,938.879,128.414,GROUND
380,1042.538,938.551,128.404,GROUND
384,1070.905,955.608,128.027,GROUND
385,1072.771,953.751,128.152,GROUND
386,1079.154,955.736,128.371,GROUND
387,1061.087,959.168,128.393,GROUND
390,1037.54,956.713,128.09,GROUND
391,1032.734,956.903,128.075,GROUND
260,1092.391,992.183,128.128,GROUND
261,1086.834,991.512,128.215,GROUND
262,1086.257,973.555,128.23,GROUND
265,1076.536,964.048,128.157,GROUND
266,1076.367,961.346,128.135,GROUND
273,1046.768,963.291,128.171,GROUND
274,1045.263,966.086,128.112,GROUND
275,1089.877,952.853,128.176,GROUND
277,1081.873,940.751,128.132,GROUND
278,1075.416,940.264,128.121,GROUND
279,1072.528,939.136,128.121,GROUND
280,1073.742,939.937,128.132,GROUND
282,1078.843,938.791,128.117,GROUND
283,1074.757,938.061,128.104,GROUND
284,1071.902,936.36,128.169,GROUND
291,1088.706,939.232,128.184,GROUND
301,1003.684,963.651,127.985,GROUND
302,1002.339,962.744,127.963,GROUND
303,1001.786,962.051,127.953,GROUND
304,1004.871,964.255,128.018,GROUND
305,1004.16,970.022,128.026,GROUND
308,1006.917,968.156,127.973,GROUND
309,1001.233,976.964,128.011,GROUND
310,1002.054,975.007,127.996,GROUND
311,995.115,978.432,127.983,GROUND
312,994.93,965.925,127.979,GROUND
314,998.176,981.421,128.037,GROUND
315,995.746,981.765,128.014,GROUND
316,992.195,981.326,128.022,GROUND
317,996.373,991.954,127.926,GROUND
318,994.732,989.937,127.972,GROUND
319,996.713,995.698,127.952,GROUND
320,999.36,997.891,127.996,GROUND
321,999.942,1009.723,127.968,GROUND
322,997.548,1009.316,127.984,GROUND
323,996.803,1012.061,127.972,GROUND
324,994.892,1016.365,127.959,GROUND
325,992.338,1021.595,127.936,GROUND
326,995.414,1021.078,127.952,GROUND
327,997.485,1020.854,128.017,GROUND
328,1007.006,1015.965,127.995,GROUND
331,1013.206,1012.859,128.018,GROUND
333,1007.72,1017.701,127.999,GROUND
334,1031.607,1005.987,128.006,GROUND
335,1030.838,1003.785,128.044,GROUND
336,1024.031,1007.528,128.026,GROUND
337,1024.003,1009.612,128.045,GROUND
341,1037.954,1005.991,128.012,GROUND
342,1041.717,1005.622,128.001,GROUND
343,1048.691,1002.617,128.049,GROUND
345,1086.386,995.812,128.313,GROUND
346,1082.256,998.057,128.148,GROUND
347,1084.85,1000.347,128.293,GROUND
348,1073.173,1001.077,128.111,GROUND
349,1066.641,999.078,128.127,GROUND
350,1061.353,997.693,128.154,GROUND
351,1061.67,999.286,128.085,GROUND
358,1083.676,1010.048,128.213,GROUND
359,1088.308,1010.288,128.199,GROUND
360,1091.701,998.269,128.154,GROUND
362,1092.372,995.173,128.149,GROUND
363,1092.044,977.629,128.166,GROUND
367,1040.876,1003.272,128.016,GROUND
368,1044.595,1001.627,128.046,GROUND
369,1048.448,1000.18,128.062,GROUND
370,1048.447,1000.18,128.062,GROUND
373,1003.479,939.303,128.234,GROUND
375,999.507,934.217,128.258,GROUND
376,1029.288,933.182,128.367,GROUND
377,1029.288,933.181,128.367,GROUND
378,1032.231,937.431,128.346,GROUND
381,1036.338,935.297,128.403,GROUND
382,993.171,933.862,128.246,GROUND
383,998.937,943.09,128.252,GROUND
